IMG (1).jpg;"460;34;125;117";Ceda_el_paso
IMG (2).jpg;"295;310;42;41";Peligro
IMG (3).jpg;"182;299;124;119";Obligatoriedad
IMG (4).jpg;"1284;672;66;71";Obligatoriedad
IMG (5).jpg;"841;170;140;155";Peligro
IMG (6).jpg;"792;289;82;76";Peligro
IMG (7).jpg;"743;689;53;51";Limite_de_velocidad
IMG (7).jpg;"1237;684;46;51";Limite_de_velocidad
IMG (8).jpg;"233;306;42;40";Obligatoriedad
IMG (8).jpg;"528;292;46;43";Obligatoriedad
IMG (8).jpg;"799;301;37;31";Obligatoriedad
IMG (9).jpg;"1240;651;40;41";Limite_de_velocidad
IMG (10).jpg;"831;334;83;94";Peligro
IMG (11).jpg;"806;296;78;70";Ceda_el_paso
IMG (11).jpg;"194;294;55;62";Prohibicion
IMG (12).jpg;"212;557;61;59";Limite_de_velocidad
IMG (12).jpg;"896;547;64;61";Limite_de_velocidad
IMG (13).jpg;"1092;306;172;173";Peligro
IMG (14).jpg;"1113;699;46;46";Peligro
IMG (15).jpg;"448;375;58;48";Obligatoriedad
IMG (15).jpg;"823;383;63;58";Obligatoriedad
IMG (15).jpg;"1188;413;56;48";Obligatoriedad
IMG (16).jpg;"941;669;76;66";Ceda_el_paso
IMG (16).jpg;"1602;596;79;60";Ceda_el_paso
IMG (16).jpg;"842;669;68;66";Obligatoriedad
IMG (17).jpg;"731;279;60;62";Obligatoriedad
IMG (18).jpg;"156;171;71;69";Obligatoriedad
IMG (19).jpg;"1343;680;62;51";Ceda_el_paso
IMG (19).jpg;"1346;636;59;51";Obligatoriedad
IMG (20).jpg;"795;456;81;84";Fin_de_restriccion
IMG (21).jpg;"456;750;46;46";Limite_de_velocidad
IMG (21).jpg;"953;715;41;38";Limite_de_velocidad
IMG (22).jpg;"842;248;67;71";Limite_de_velocidad
IMG (23).jpg;"1514;632;48;50";Ceda_el_paso
IMG (23).jpg;"1518;588;40;44";Obligatoriedad
IMG (24).jpg;"1074;589;49;42";Ceda_el_paso
IMG (24).jpg;"1081;553;34;35";Obligatoriedad
IMG (25).jpg;"828;366;43;38";Peligro
IMG (26).jpg;"914;216;92;112";Peligro
IMG (27).jpg;"1108;477;71;60";Ceda_el_paso
IMG (27).jpg;"1116;427;51;51";Obligatoriedad
IMG (28).jpg;"1129;693;38;34";Peligro
IMG (29).jpg;"915;328;71;61";Peligro
IMG (30).jpg;"892;620;33;31";Limite_de_velocidad
IMG (31).jpg;"548;611;99;104";Limite_de_velocidad
IMG (31).jpg;"1511;585;84;97";Limite_de_velocidad
IMG (32).jpg;"365;669;49;49";Peligro
IMG (32).jpg;"882;679;50;50";Peligro
IMG (33).jpg;"851;435;74;78";Prohibicion
IMG (34).jpg;"1806;387;96;79";Ceda_el_paso
IMG (35).jpg;"947;708;45;37";Peligro
IMG (36).jpg;"1567;672;97;91";Peligro
IMG (37).jpg;"1192;747;28;30";Limite_de_velocidad
IMG (38).jpg;"1396;712;62;60";Ceda_el_paso
IMG (38).jpg;"1404;661;43;53";Obligatoriedad
IMG (38).jpg;"1669;576;115;108";Obligatoriedad
IMG (39).jpg;"707;470;75;77";Fin_de_restriccion
IMG (40).jpg;"610;253;65;67";Peligro
IMG (41).jpg;"140;116;57;56";Prohibicion
IMG (42).jpg;"1295;377;123;122";Prohibicion
IMG (43).jpg;"731;200;90;95";Obligatoriedad
IMG (44).jpg;"615;327;43;45";Prohibicion
IMG (45).jpg;"82;319;48;52";Limite_de_velocidad
IMG (45).jpg;"598;326;34;37";Limite_de_velocidad
IMG (46).jpg;"1016;704;42;38";Peligro
IMG (47).jpg;"293;318;94;92";Limite_de_velocidad
IMG (48).jpg;"646;743;31;33";Limite_de_velocidad
IMG (48).jpg;"1079;738;31;29";Limite_de_velocidad
IMG (49).jpg;"1210;520;62;48";Fin_de_restriccion
IMG (49).jpg;"1216;477;44;43";Obligatoriedad
IMG (50).jpg;"707;721;39;34";Peligro
IMG (50).jpg;"981;712;38;30";Peligro
IMG (51).jpg;"308;376;59;50";Peligro
IMG (51).jpg;"900;347;53;48";Peligro
IMG (52).jpg;"1245;324;106;99";Prohibicion
IMG (53).jpg;"1085;716;21;24";Obligatoriedad
IMG (54).jpg;"1162;714;26;21";Ceda_el_paso
IMG (54).jpg;"1164;696;19;17";Obligatoriedad
IMG (55).jpg;"555;233;52;55";Limite_de_velocidad
IMG (56).jpg;"1286;296;77;82";Obligatoriedad
IMG (57).jpg;"1146;315;203;185";Peligro
IMG (58).jpg;"444;558;81;79";Limite_de_velocidad
IMG (59).jpg;"18;316;58;65";Prohibicion
IMG (59).jpg;"863;338;56;60";Prohibicion
IMG (60).jpg;"650;287;26;25";Prohibicion
IMG (61).jpg;"1300;511;93;97";Peligro
IMG (61).jpg;"1208;621;65;64";Peligro
IMG (62).jpg;"133;308;39;38";Limite_de_velocidad
IMG (62).jpg;"701;284;50;53";Limite_de_velocidad
IMG (63).jpg;"482;498;34;31";Obligatoriedad
IMG (63).jpg;"762;495;39;38";Obligatoriedad
IMG (63).jpg;"1035;508;29;30";Obligatoriedad
IMG (63).jpg;"135;492;37;38";Prohibicion
IMG (64).jpg;"141;342;50;53";Obligatoriedad
IMG (64).jpg;"830;355;46;50";Obligatoriedad
IMG (65).jpg;"686;278;43;46";Limite_de_velocidad
IMG (66).jpg;"781;190;36;41";Limite_de_velocidad
IMG (66).jpg;"539;280;29;29";Peligro
IMG (67).jpg;"1103;306;120;129";Obligatoriedad
IMG (68).jpg;"686;620;55;55";Peligro
IMG (69).jpg;"565;339;46;49";Limite_de_velocidad
IMG (70).jpg;"572;205;63;69";Prohibicion
IMG (71).jpg;"1197;631;39;40";Limite_de_velocidad
IMG (72).jpg;"391;442;41;39";Limite_de_velocidad
IMG (72).jpg;"943;437;42;42";Limite_de_velocidad
IMG (73).jpg;"1153;648;40;42";Limite_de_velocidad
IMG (74).jpg;"924;500;116;107";Peligro
IMG (75).jpg;"41;215;39;42";Limite_de_velocidad
IMG (75).jpg;"495;209;43;45";Limite_de_velocidad
IMG (76).jpg;"808;510;65;66";Obligatoriedad
IMG (77).jpg;"484;390;60;62";Limite_de_velocidad
IMG (77).jpg;"1221;442;63;63";Limite_de_velocidad
IMG (78).jpg;"640;233;60;58";Limite_de_velocidad
IMG (78).jpg;"637;164;56;62";Prohibicion
IMG (79).jpg;"32;149;54;52";Obligatoriedad
IMG (79).jpg;"30;89;53;57";Prohibicion
IMG (80).jpg;"911;458;61;63";Obligatoriedad
IMG (81).jpg;"1031;445;92;83";Peligro
IMG (82).jpg;"71;233;51;48";Obligatoriedad
IMG (82).jpg;"70;180;50;51";Prohibicion
IMG (83).jpg;"581;138;53;45";Peligro
IMG (84).jpg;"1251;392;92;86";Peligro
IMG (85).jpg;"755;539;29;30";Obligatoriedad
IMG (86).jpg;"56;90;58;54";Peligro
IMG (86).jpg;"509;112;48;47";Peligro
